Nodes,Average Degree,Diameter,BFS Time (deque),BFS Time (list),DFS Time (stack),DFS Time (recursive),Cycle Detection Time (DFS),Cycle Detection Time (BFS),Diameter Calculation Time
100,2.0,1,3.62396240234375e-05,7.152557373046875e-06,1.239776611328125e-05,6.67572021484375e-06,6.4373016357421875e-06,8.106231689453125e-06,4.506111145019531e-05
200,2.4,2,1.4066696166992188e-05,6.9141387939453125e-06,1.1444091796875e-05,6.4373016357421875e-06,5.9604644775390625e-06,7.152557373046875e-06,2.4557113647460938e-05
400,3.1724137931034484,1,2.956390380859375e-05,1.7881393432617188e-05,2.2411346435546875e-05,1.5974044799804688e-05,1.4543533325195312e-05,2.1696090698242188e-05,4.982948303222656e-05
600,3.1641791044776117,1,6.818771362304688e-05,5.745887756347656e-05,9.393692016601562e-05,5.555152893066406e-05,1.6689300537109375e-05,1.5735626220703125e-05,4.839897155761719e-05
800,3.5454545454545454,1,5.6743621826171875e-05,4.1961669921875e-05,4.458427429199219e-05,3.814697265625e-05,3.814697265625e-05,4.0531158447265625e-05,9.632110595703125e-05
1000,4.607228915662651,9,0.00040268898010253906,0.0005838871002197266,0.0007109642028808594,0.0003466606140136719,6.985664367675781e-05,6.771087646484375e-05,0.0008978843688964844
